Started
Accelerometer sample rate = 119.00 Hz

Acceleration in g's
X	Y	Z
_,_,_
0.95,0.03,-0.05
0.95,0.03,-0.06
0.95,0.01,-0.06
0.95,0.02,-0.07
0.96,0.04,-0.08
0.96,0.05,-0.09
0.96,0.07,-0.07
0.96,0.10,-0.03
0.96,0.11,-0.01
0.96,0.13,0.02
0.97,0.14,0.03
0.99,0.15,0.02
0.98,0.15,0.02
0.97,0.15,0.01
0.95,0.12,-0.01
0.95,0.09,-0.03
0.92,0.05,-0.05
0.91,0.03,-0.06
0.90,-0.00,-0.08
0.88,-0.01,-0.13
0.84,-0.03,-0.16
0.78,-0.06,-0.20
0.76,-0.07,-0.20
0.75,-0.09,-0.18
0.76,-0.13,-0.19
0.76,-0.16,-0.23
0.77,-0.18,-0.34
0.74,-0.10,-0.39
0.69,-0.07,-0.63
0.66,-0.01,-0.74
0.57,0.11,-1.01
0.54,0.20,-1.11
0.43,0.40,-1.28
0.36,0.71,-1.36
0.33,0.85,-1.40
0.24,1.07,-1.45
0.22,1.12,-1.46
0.17,1.18,-1.41
0.15,1.17,-1.37
0.11,1.16,-1.22
0.08,1.37,-1.07
0.04,1.53,-1.07
-0.04,1.80,-1.11
-0.09,1.84,-1.12
-0.17,1.80,-1.02
-0.21,1.67,-0.81
-0.28,1.40,-0.64
-0.33,1.31,-0.31
-0.38,1.36,-0.17
-0.40,1.65,-0.10
-0.45,1.82,-0.17
-0.55,1.96,-0.28
-0.56,1.83,-0.03
-0.58,1.72,0.28
-0.55,1.56,0.89
-0.50,1.52,1.07
-0.42,1.37,1.02
-0.39,1.31,0.84
-0.36,1.19,0.47
-0.38,1.04,0.28
-0.38,0.97,0.24
-0.38,0.90,0.24
-0.33,0.91,0.27
-0.33,0.96,0.32
-0.30,1.00,0.34
-0.29,1.11,0.40
-0.28,1.13,0.50
-0.26,1.09,0.54
-0.16,1.01,0.53
-0.10,1.02,0.47
-0.00,1.12,0.21
0.02,1.21,-0.00
0.04,1.24,-0.09
0.07,1.10,-0.10
0.08,0.99,0.04
0.09,0.96,0.11
0.10,0.93,0.24
0.11,0.93,0.29
0.12,0.96,0.38
0.12,0.97,0.41
0.14,0.99,0.42
0.15,0.97,0.38
0.15,0.93,0.24
0.17,0.91,0.17
0.19,0.93,0.07
0.19,0.96,0.03
0.17,1.02,-0.09
0.17,1.02,-0.15
0.17,0.98,-0.22
0.17,1.05,-0.17
0.17,1.08,-0.15
0.14,1.10,-0.13
0.14,1.14,-0.09
0.15,1.14,-0.00
0.15,1.09,0.51
0.03,1.32,0.13
0.15,1.12,-0.09
0.13,1.07,-0.14
0.14,1.02,-0.14
0.15,1.01,-0.12
0.14,1.04,-0.10
0.13,1.06,-0.11
0.12,1.06,-0.12
0.12,1.02,-0.13
0.13,1.02,-0.14
0.12,1.05,-0.12
0.12,1.06,-0.12
0.11,1.05,-0.14
0.12,0.97,-0.17
0.12,0.92,-0.18
0.13,0.87,-0.15
0.13,0.89,-0.14
0.13,0.95,-0.11
0.13,0.97,-0.12
0.11,0.96,-0.13
0.12,0.92,-0.13
0.13,0.92,-0.13
0.13,0.98,-0.13
0.12,1.01,-0.14
0.11,1.01,-0.13
0.11,0.95,-0.09
0.12,0.96,-0.08
0.12,1.01,-0.07
0.13,1.04,-0.08
0.12,1.05,-0.09
0.12,1.04,-0.08
0.12,0.99,-0.05
0.14,0.97,-0.03



_,_,_
0.96,0.12,-0.10
0.96,0.12,-0.07
0.96,0.12,-0.05
0.95,0.11,0.01
0.95,0.09,0.02
0.95,0.06,0.04
0.94,0.03,0.02
0.94,0.02,0.01
0.93,0.04,-0.01
0.91,0.05,-0.02
0.90,0.07,-0.07
0.89,0.05,-0.11
0.88,0.02,-0.17
0.85,-0.05,-0.25
0.83,-0.08,-0.29
0.79,-0.13,-0.38
0.77,-0.13,-0.40
0.69,-0.05,-0.34
0.65,0.02,-0.24
0.59,0.18,-0.00
0.53,0.34,0.11
0.50,0.42,0.07
0.42,0.57,-0.20
0.38,0.65,-0.40
0.28,0.81,-0.82
0.26,0.90,-1.02
0.22,1.02,-1.38
0.22,0.95,-1.60
0.22,0.88,-1.63
0.18,0.83,-1.52
0.17,0.88,-1.46
0.08,1.20,-1.44
0.06,1.46,-1.43
-0.03,1.68,-1.48
-0.05,1.75,-1.43
-0.06,1.79,-1.36
-0.08,1.73,-1.18
-0.10,1.63,-1.08
-0.14,1.49,-0.89
-0.18,1.44,-0.74
-0.20,1.42,-0.68
-0.22,1.36,-0.56
-0.22,1.34,-0.53
-0.27,1.38,-0.59
-0.30,1.39,-0.64
-0.36,1.36,-0.61
-0.42,1.24,-0.52
-0.44,1.27,-0.47
-0.45,1.36,-0.45
-0.46,1.44,-0.44
-0.54,1.57,-0.39
-0.57,1.59,-0.16
-0.61,1.58,-0.11
-0.57,1.58,0.16
-0.55,1.54,0.29
-0.51,1.36,0.49
-0.47,1.25,0.57
-0.42,1.09,0.72
-0.33,1.05,0.77
-0.26,1.07,0.76
-0.15,1.08,0.67
-0.11,1.04,0.62
-0.04,0.89,0.57
-0.00,0.80,0.56
0.09,0.61,0.56
0.18,0.44,0.55
0.21,0.37,0.54
0.29,0.26,0.51
0.34,0.24,0.50
0.59,-0.95,0.17
0.50,0.57,0.20
0.52,0.33,0.29
0.61,0.56,0.32
0.65,0.63,0.38
0.71,-0.26,0.74
0.65,-0.06,0.50
0.64,0.65,0.32
0.61,0.76,0.26
0.61,0.79,0.22
0.58,0.71,0.23
0.57,0.80,0.19
0.56,0.80,0.18
0.55,0.77,0.19
0.54,0.73,0.19
0.54,0.62,0.19
0.60,0.94,0.14
0.55,0.98,0.14
0.58,0.75,0.22
0.56,0.79,0.20
0.57,0.75,0.22
0.58,0.78,0.22
